Time,AccX,AccY,AccZ
2024-08-29 12:09:39.190711,-0.05,-0.05,0.88
2024-08-29 12:09:40.526476,-0.04,-0.05,0.88
2024-08-29 12:09:41.722095,-0.05,-0.05,0.88
2024-08-29 12:09:42.927797,-0.05,-0.05,0.88
2024-08-29 12:09:44.144553,-0.05,-0.05,0.88
2024-08-29 12:09:45.410266,-0.05,-0.05,0.89
2024-08-29 12:09:46.639889,-0.05,-0.05,0.89
2024-08-29 12:09:47.884382,-0.05,-0.05,0.88
2024-08-29 12:09:49.140836,-0.05,-0.05,0.88
2024-08-29 12:09:50.425177,-0.05,-0.05,0.88
2024-08-29 12:09:51.661838,-0.06,-0.05,0.88
2024-08-29 12:09:52.991330,-0.05,-0.05,0.88
2024-08-29 12:09:54.208420,-0.04,-0.05,0.88
2024-08-29 12:09:55.426363,-0.05,-0.05,0.89
2024-08-29 12:09:56.634091,-0.05,-0.05,0.88
2024-08-29 12:09:57.842281,-0.06,-0.05,0.88
2024-08-29 12:09:59.046109,-0.05,-0.05,0.88
2024-08-29 12:10:00.261635,-0.05,-0.05,0.88
2024-08-29 12:10:01.477917,-0.05,-0.05,0.89
